,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
17181,treprostinil & bosentan,treprostinil,bosentan,193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders,6,756,0.00794,8,1280,28,6235,0.01071,0.74136,0.008,0.0048134777376654635,1.662,0.7950409966521533,0.37258017817341615
17184,epoprostenol & ambrisentan,epoprostenol,ambrisentan,230461009,Headache,Headaches NEC,Nervous system disorders,61,1186,0.05143,269,7134,88,2956,0.06636,0.77502,0.05422222222222222,0.03667933833350457,1.4782769996887644,7.217351689098322,0.007220215497517193
17190,epoprostenol & riociguat,epoprostenol,riociguat,230461009,Headache,Headaches NEC,Nervous system disorders,11,206,0.0534,269,7134,7,221,0.06819,0.78311,0.05641025641025641,0.038988557705890665,1.4468413229282793,0.9820132909655861,0.3217022620209872
17191,ambrisentan & riociguat,ambrisentan,riociguat,230461009,Headache,Headaches NEC,Nervous system disorders,16,371,0.04313,88,2956,7,221,0.0605,0.71289,0.04507042253521127,0.03082414016872161,1.4621793921423276,1.5054488332161178,0.2198348696352192
17192,macitentan & riociguat,macitentan,riociguat,230461009,Headache,Headaches NEC,Nervous system disorders,26,955,0.02723,185,10192,7,221,0.04925,0.55289,0.02798708288482239,0.018784854710889344,1.4898748654467169,3.138728754114546,0.0764533760020109
17193,epoprostenol & selexipag,epoprostenol,selexipag,230461009,Headache,Headaches NEC,Nervous system disorders,6,208,0.02885,269,7134,161,3749,0.07903,0.36505,0.0297029702970297,0.04113651583277528,0.7220584849182593,0.3647381800330822,0.5458864750235584
17194,ambrisentan & selexipag,ambrisentan,selexipag,230461009,Headache,Headaches NEC,Nervous system disorders,146,2479,0.05889,88,2956,161,3749,0.07143,0.82444,0.06258036862408915,0.03856877323420074,1.6225657021571067,20.2917468402968,6.648676033899068e-06
17197,macitentan & selexipag,macitentan,selexipag,230461009,Headache,Headaches NEC,Nervous system disorders,239,5362,0.04457,185,10192,161,3749,0.06031,0.73902,0.04665235213741948,0.025450533284295696,1.8330599055150805,50.75120147375293,1.048483659912286e-12
17200,riociguat & selexipag,riociguat,selexipag,230461009,Headache,Headaches NEC,Nervous system disorders,6,112,0.05357,7,221,161,3749,0.07325,0.73133,0.05660377358490566,0.04418726985796949,1.2809973045822103,0.11852882265377158,0.7306356098301867
17202,epoprostenol & sildenafil,epoprostenol,sildenafil,230461009,Headache,Headaches NEC,Nervous system disorders,6,158,0.03797,269,7134,7,368,0.05601,0.67791,0.039473684210526314,0.03819540548021035,1.0334668192219678,0.0,1.0
17205,macitentan & sildenafil,macitentan,sildenafil,230461009,Headache,Headaches NEC,Nervous system disorders,8,410,0.01951,185,10192,7,368,0.03682,0.52988,0.01990049751243781,0.018518518518518517,1.0746268656716418,8.895667495149604e-05,0.9924747160225839
17212,epoprostenol & treprostinil,epoprostenol,treprostinil,230461009,Headache,Headaches NEC,Nervous system disorders,15,280,0.05357,269,7134,52,1280,0.07681,0.69744,0.05660377358490566,0.03966390708019276,1.4270851701639922,1.3441751082561013,0.2462990193878205
17213,ambrisentan & treprostinil,ambrisentan,treprostinil,230461009,Headache,Headaches NEC,Nervous system disorders,52,1337,0.03889,88,2956,52,1280,0.06919,0.56208,0.04046692607003891,0.0341796875,1.1839466370205671,0.8747427888681354,0.3496456417614333
17215,macitentan & treprostinil,macitentan,treprostinil,230461009,Headache,Headaches NEC,Nervous system disorders,104,2408,0.04319,185,10192,52,1280,0.05804,0.74414,0.04513888888888889,0.02109479305740988,2.13981188466948,41.22315740505275,1.3580404385468189e-10
17221,riociguat & treprostinil,riociguat,treprostinil,230461009,Headache,Headaches NEC,Nervous system disorders,6,138,0.04348,7,221,52,1280,0.07101,0.61231,0.045454545454545456,0.040915395284327326,1.110939907550077,0.0001531514497416154,0.9901260816356037
17224,selexipag & treprostinil,selexipag,treprostinil,230461009,Headache,Headaches NEC,Nervous system disorders,14,257,0.05447,161,3749,52,1280,0.08183,0.66565,0.05761316872427984,0.04422757475083056,1.3026526787611816,0.6039169864878418,0.4370874089272886
17225,sildenafil & treprostinil,sildenafil,treprostinil,230461009,Headache,Headaches NEC,Nervous system disorders,19,344,0.05523,7,368,52,1280,0.05888,0.93801,0.05846153846153846,0.037130270610446825,1.5744980443285526,2.3630482592671456,0.12423921091259044
17227,epoprostenol & bosentan,epoprostenol,bosentan,230461009,Headache,Headaches NEC,Nervous system disorders,29,1036,0.02799,269,7134,89,6235,0.05144,0.54413,0.028798411122144985,0.027515179463530857,1.0466372265648838,0.01770718518924652,0.8941393272784303
17230,riociguat & bosentan,riociguat,bosentan,230461009,Headache,Headaches NEC,Nervous system disorders,6,218,0.02752,7,221,89,6235,0.04549,0.60497,0.02830188679245283,0.01509433962264151,1.875,1.4813768296185437,0.2235592287346991
17232,selexipag & bosentan,selexipag,bosentan,230461009,Headache,Headaches NEC,Nervous system disorders,36,773,0.04657,161,3749,89,6235,0.0566,0.82279,0.048846675712347354,0.025683172385453052,1.9018941655359565,12.033741847613598,0.0005224608778075936
17233,sildenafil & bosentan,sildenafil,bosentan,230461009,Headache,Headaches NEC,Nervous system disorders,6,291,0.02062,7,368,89,6235,0.03302,0.62447,0.021052631578947368,0.01475334255417243,1.4269736842105263,0.3512095776636331,0.5534292148856315
17235,treprostinil & bosentan,treprostinil,bosentan,230461009,Headache,Headaches NEC,Nervous system disorders,25,756,0.03307,52,1280,89,6235,0.05432,0.6088,0.03419972640218878,0.019121236777868186,1.7885729254591494,6.439391218547722,0.011161689155431321
17237,epoprostenol & ambrisentan,epoprostenol,ambrisentan,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,46,1186,0.03879,280,7134,30,2956,0.049,0.79163,0.04035087719298246,0.03169734151329243,1.273005093378608,2.0002300613060355,0.15727533406665714
17238,epoprostenol & macitentan,epoprostenol,macitentan,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,106,3473,0.03052,280,7134,15,10192,0.04066,0.75061,0.031482031482031485,0.017321355175855792,1.817527044645689,27.154769140936853,1.8780134594920639e-07
17246,ambrisentan & selexipag,ambrisentan,selexipag,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,64,2479,0.02582,30,2956,61,3749,0.02625,0.98362,0.02650103519668737,0.013758693680072574,1.9261301845152776,15.625181689561558,7.721937585574806e-05
17247,macitentan & selexipag,macitentan,selexipag,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,121,5362,0.02257,15,10192,61,3749,0.01772,1.2737,0.023087197099790117,0.005481428056256761,4.211894576165657,110.6034319929802,7.227433479598615e-26
17249,epoprostenol & treprostinil,epoprostenol,treprostinil,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,7,280,0.025,280,7134,15,1280,0.05051,0.49495,0.02564102564102564,0.036334523956152234,0.7056931768796175,0.5454727128689982,0.46017346452225494
17250,ambrisentan & treprostinil,ambrisentan,treprostinil,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,14,1337,0.01047,30,2956,15,1280,0.02175,0.48138,0.010582010582010581,0.010737294201861132,0.9855379188712521,0.0,1.0
17251,macitentan & treprostinil,macitentan,treprostinil,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,26,2408,0.0108,15,10192,15,1280,0.01317,0.82005,0.0109151973131822,0.0026219192448872575,4.1630562552476915,31.15481185040986,2.3824804880371857e-08
17253,selexipag & treprostinil,selexipag,treprostinil,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,8,257,0.03113,61,3749,15,1280,0.0278,1.11978,0.0321285140562249,0.015344235816676762,2.0938490805326566,3.051785196368744,0.08064844982810901
17255,epoprostenol & bosentan,epoprostenol,bosentan,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,28,1036,0.02703,280,7134,13,6235,0.04126,0.65511,0.027777777777777776,0.022407464056286325,1.2396662874478575,0.9300045515875763,0.33486174235470734
17258,selexipag & bosentan,selexipag,bosentan,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,12,773,0.01552,61,3749,13,6235,0.01833,0.8467,0.01576872536136662,0.007467204843592331,2.111730653123557,4.97408358935138,0.0257298312128226
17259,treprostinil & bosentan,treprostinil,bosentan,274667000,Pain in jaw,Bone related signs and symptoms,Musculoskeletal and connective tissue disorders,11,756,0.01455,15,1280,13,6235,0.01379,1.05511,0.01476510067114094,0.003739815680512889,3.948082454458293,14.920324573576556,0.00011214822148388964
17262,epoprostenol & ambrisentan,epoprostenol,ambrisentan,279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders,6,1186,0.00506,38,7134,17,2956,0.01105,0.45792,0.005084745762711864,0.005480817140009965,0.9277349768875192,0.0,1.0
17263,epoprostenol & macitentan,epoprostenol,macitentan,279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders,13,3473,0.00374,38,7134,38,10192,0.00904,0.41372,0.0037572254335260114,0.0044057971014492756,0.8527912990568907,0.15030185315409045,0.698247063391813
17266,ambrisentan & selexipag,ambrisentan,selexipag,279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders,6,2479,0.00242,17,2956,6,3749,0.00734,0.3297,0.002426202992317024,0.0034420832086201735,0.7048647128114067,0.3095022630322924,0.5779857773210005
17267,macitentan & selexipag,macitentan,selexipag,279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders,17,5362,0.00317,38,10192,6,3749,0.00532,0.59586,0.0031805425631431243,0.0031661509678347845,1.0045454545454544,0.0,1.0
17275,epoprostenol & macitentan,epoprostenol,macitentan,373945007,Pericardial effusion,Pericardial disorders NEC,Cardiac disorders,11,3473,0.00317,11,7134,32,10192,0.00468,0.67735,0.0031773541305603697,0.002487993982526182,1.2770746846156946,0.29361085543599946,0.587915846829489
17278,macitentan & selexipag,macitentan,selexipag,373945007,Pericardial effusion,Pericardial disorders NEC,Cardiac disorders,11,5362,0.00205,32,10192,6,3749,0.00473,0.4334,0.0020556905251354887,0.002733223045385888,0.7521122466041763,0.45458683265467575,0.5001647507940852
17285,epoprostenol & ambrisentan,epoprostenol,ambrisentan,26544005,Muscular weakness,Muscle weakness conditions,Musculoskeletal and connective tissue disorders,6,1186,0.00506,17,7134,8,2956,0.00508,0.99606,0.005084745762711864,0.0024838549428713363,2.0471186440677966,1.7236521270466585,0.18922361401469343
17313,ambrisentan & selexipag,ambrisentan,selexipag,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",27,2479,0.01089,54,2956,33,3749,0.02691,0.40468,0.01101141924959217,0.01314596554850408,0.8376272711931146,0.4824116125297811,0.48733198117548493
17315,macitentan & selexipag,macitentan,selexipag,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",68,5362,0.01268,193,10192,33,3749,0.02757,0.45992,0.012844729882886286,0.016478308421436383,0.77949323160967,2.9850705094977004,0.0840356272418209
17319,epoprostenol & bosentan,epoprostenol,bosentan,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",12,1036,0.01158,62,7134,131,6235,0.02952,0.39228,0.01171875,0.014647844565877352,0.8000323834196892,0.37315382134022834,0.5412901641816328
17325,selexipag & bosentan,selexipag,bosentan,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",6,773,0.00776,33,3749,131,6235,0.02963,0.2619,0.007822685788787484,0.01670061099796334,0.4684071612554457,2.928108674047495,0.08704941657855313
17327,treprostinil & bosentan,treprostinil,bosentan,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",16,756,0.02116,26,1280,131,6235,0.04089,0.51749,0.021621621621621623,0.021337319923892362,1.0133241521776555,0.0,1.0
17331,epoprostenol & ambrisentan,epoprostenol,ambrisentan,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,25,1186,0.02108,126,7134,31,2956,0.02796,0.75393,0.02153316106804479,0.01580589952682976,1.3623496107572541,1.7030889606090607,0.19188450341048402
17332,epoprostenol & macitentan,epoprostenol,macitentan,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,55,3473,0.01584,126,7134,74,10192,0.02479,0.63897,0.01609128145114102,0.011678150181011327,1.3778964306612056,4.055777179022419,0.044020451511126844
17336,ambrisentan & selexipag,ambrisentan,selexipag,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,67,2479,0.02703,31,2956,78,3749,0.03108,0.86969,0.027777777777777776,0.016525166767738023,1.6809378185524972,10.603954155740972,0.0011284606923664508
17339,macitentan & selexipag,macitentan,selexipag,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,122,5362,0.02275,74,10192,78,3749,0.02792,0.81483,0.023282442748091603,0.011023279425629124,2.112115809562073,38.016416582365906,7.015187242327387e-10
17344,epoprostenol & treprostinil,epoprostenol,treprostinil,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,7,280,0.025,126,7134,16,1280,0.02994,0.835,0.02564102564102564,0.01716634429400387,1.4936800288912964,0.6340972000442687,0.425856404872449
17345,ambrisentan & treprostinil,ambrisentan,treprostinil,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,32,1337,0.02393,31,2956,16,1280,0.02286,1.04681,0.024521072796934867,0.011219861542134162,2.1855058286459608,11.085863337258074,0.000869883145318889
17346,macitentan & treprostinil,macitentan,treprostinil,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,49,2408,0.02035,74,10192,16,1280,0.01967,1.03457,0.020771513353115726,0.00790722192936215,2.6269040553907024,30.136716710351376,4.026355483160905e-08
17354,epoprostenol & bosentan,epoprostenol,bosentan,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,17,1036,0.01641,126,7134,39,6235,0.02381,0.68921,0.016683022571148183,0.012496213268706452,1.3350462426026704,0.9698271855859321,0.32472328209174967
17358,selexipag & bosentan,selexipag,bosentan,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,17,773,0.02199,78,3749,39,6235,0.02694,0.81626,0.022486772486772486,0.011857707509881422,1.896384479717813,5.348646540102041,0.020738362900321144
17361,treprostinil & bosentan,treprostinil,bosentan,90834002,Pain in extremity,Musculoskeletal and connective tissue pain and discomfort,Musculoskeletal and connective tissue disorders,14,756,0.01852,16,1280,39,6235,0.01868,0.99143,0.018867924528301886,0.007372654155495978,2.5591766723842198,9.105253105848533,0.0025487644622029493
17371,epoprostenol & macitentan,epoprostenol,macitentan,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,123,3473,0.03542,260,7134,164,10192,0.05195,0.68181,0.03671641791044776,0.025085788664063424,1.463634187552802,13.107820239774393,0.0002940656449423727
17391,epoprostenol & selexipag,epoprostenol,selexipag,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,9,208,0.04327,260,7134,112,3749,0.06523,0.66335,0.04522613065326633,0.03539149462467891,1.2778813421948452,0.27108292328635425,0.6026062616746057
17392,ambrisentan & selexipag,ambrisentan,selexipag,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,99,2479,0.03994,56,2956,112,3749,0.04824,0.82794,0.04159663865546218,0.02569986232216613,1.6185549219687874,13.673416041224128,0.00021751189196296094
17396,macitentan & selexipag,macitentan,selexipag,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,162,5362,0.03021,164,10192,112,3749,0.04548,0.66425,0.031153846153846153,0.020197585071350166,1.5424540133779263,18.475176146682568,1.7213177790013085e-05
17410,epoprostenol & treprostinil,epoprostenol,treprostinil,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,10,280,0.03571,260,7134,52,1280,0.0756,0.47235,0.037037037037037035,0.03850901012095779,0.9617758784425451,0.0,1.0
17411,ambrisentan & treprostinil,ambrisentan,treprostinil,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,39,1337,0.02917,56,2956,52,1280,0.0588,0.49609,0.030046224961479198,0.02616279069767442,1.1484334874165383,0.4006696369746522,0.5267436309823706
17413,macitentan & treprostinil,macitentan,treprostinil,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,83,2408,0.03447,164,10192,52,1280,0.05607,0.61477,0.035698924731182795,0.019189765458422176,1.8603106332138588,22.36090947915007,2.259259954369174e-06
17422,selexipag & treprostinil,selexipag,treprostinil,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,11,257,0.0428,112,3749,52,1280,0.06929,0.61769,0.044715447154471545,0.033710174717368965,1.3264673805274636,0.5068275600623223,0.4765154153718525
17428,epoprostenol & bosentan,epoprostenol,bosentan,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,34,1036,0.03282,260,7134,96,6235,0.05129,0.63989,0.033932135728542916,0.027357258126488895,1.2403339388638455,1.1733846910706063,0.2787068675520119
17436,selexipag & bosentan,selexipag,bosentan,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,29,773,0.03752,112,3749,96,6235,0.04481,0.83731,0.038978494623655914,0.02127659574468085,1.831989247311828,8.509161912115125,0.0035336277210469905
17440,treprostinil & bosentan,treprostinil,bosentan,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,26,756,0.03439,52,1280,96,6235,0.0554,0.62076,0.03561643835616438,0.020089588706393376,1.7728804146612365,6.5089106550048825,0.010733524249629608
17452,epoprostenol & macitentan,epoprostenol,macitentan,17322007,Infection,Infections NEC,Infections and infestations,9,3473,0.00259,21,7134,34,10192,0.00627,0.41308,0.002598152424942263,0.003184528979213711,0.8158671005668695,0.1586713248798776,0.6903827529597153
17462,macitentan & selexipag,macitentan,selexipag,17322007,Infection,Infections NEC,Infections and infestations,9,5362,0.00168,34,10192,7,3749,0.0052,0.32308,0.0016813002054922473,0.002949640287769784,0.570001776983957,1.9254087069897161,0.16526163193882926
17471,macitentan & selexipag,macitentan,selexipag,28743005,Productive cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",23,5362,0.00429,83,10192,17,3749,0.01263,0.33967,0.0043079228319910096,0.007224911494834188,0.5962595991758757,4.640729492906647,0.03122172814284305
17478,epoprostenol & macitentan,epoprostenol,macitentan,43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,20,3473,0.00576,46,7134,50,10192,0.01133,0.50838,0.005792064871126557,0.005571677307022635,1.0395549763490683,0.0010600035849963896,0.974027305434108
17483,ambrisentan & selexipag,ambrisentan,selexipag,43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,25,2479,0.01008,13,2956,27,3749,0.01157,0.87122,0.010187449062754686,0.006001500375093774,1.6974837000814995,3.8030376337438327,0.05115969099886324
17484,macitentan & selexipag,macitentan,selexipag,43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,64,5362,0.01194,50,10192,27,3749,0.01207,0.98923,0.0120800302000755,0.005553952683208309,2.1750329700499575,21.085430472713327,4.39255222399648e-06
17490,ambrisentan & treprostinil,ambrisentan,treprostinil,43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,12,1337,0.00898,13,2956,17,1280,0.01762,0.50965,0.009056603773584906,0.007132667617689016,1.2697358490566037,0.2667456387168338,0.6055232272528499
17491,macitentan & treprostinil,macitentan,treprostinil,43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,21,2408,0.00872,50,10192,17,1280,0.01812,0.48124,0.008797653958944282,0.005874616396317404,1.4975707970411873,2.1841766728442904,0.13943560935353838
17497,selexipag & bosentan,selexipag,bosentan,43364001,Abdominal discomfort,Gastrointestinal signs and symptoms NEC,Gastrointestinal disorders,15,773,0.0194,27,3749,20,6235,0.01039,1.86718,0.01978891820580475,0.004729797725671732,4.183882557682591,24.540770033457814,7.275400878660774e-07
17501,epoprostenol & ambrisentan,epoprostenol,ambrisentan,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,11,1186,0.00927,30,7134,11,2956,0.00791,1.17193,0.009361702127659575,0.0040800079609911435,2.2945303580695384,5.195083490668679,0.022650866988376584
17510,epoprostenol & bosentan,epoprostenol,bosentan,48694002,Anxiety,Anxiety symptoms,Psychiatric disorders,9,1036,0.00869,30,7134,25,6235,0.0082,1.05976,0.008763388510223954,0.004130989935406339,2.121377356820395,3.571221459927534,0.05878905291244983
17517,epoprostenol & macitentan,epoprostenol,macitentan,51476001,Nasopharyngitis,Upper respiratory tract infections,Infections and infestations,31,3473,0.00893,71,7134,81,10192,0.01782,0.50112,0.009006391632771645,0.00885058809828811,1.017603749350133,0.0,1.0
17527,epoprostenol & bosentan,epoprostenol,bosentan,51476001,Nasopharyngitis,Upper respiratory tract infections,Infections and infestations,9,1036,0.00869,71,7134,46,6235,0.01726,0.50348,0.008763388510223954,0.008828856021732568,0.9925848251067336,0.0,1.0
17532,epoprostenol & macitentan,epoprostenol,macitentan,56038003,Staphylococcal infection,Staphylococcal infections,Infections and infestations,6,3473,0.00173,12,7134,6,10192,0.00227,0.76211,0.0017306028266512836,0.0010399815114397967,1.6640707624266897,0.6680369229651179,0.41373686332387505
17548,ambrisentan & selexipag,ambrisentan,selexipag,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,7,2479,0.00282,20,2956,23,3749,0.01286,0.21928,0.0028317152103559872,0.0064545181627139,0.4387182960788741,3.669067549756019,0.05543118699844702
17549,macitentan & selexipag,macitentan,selexipag,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,30,5362,0.00559,94,10192,23,3749,0.01529,0.3656,0.005626406601650412,0.008463541666666666,0.6647815800103872,3.648782465443517,0.05611021542329924
17553,macitentan & treprostinil,macitentan,treprostinil,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,14,2408,0.00581,94,10192,6,1280,0.01387,0.41889,0.005847953216374269,0.008793527963418923,0.6650292397660819,1.7179883011461592,0.18995220083466624
17556,epoprostenol & bosentan,epoprostenol,bosentan,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,6,1036,0.00579,25,7134,61,6235,0.01325,0.43698,0.005825242718446602,0.006474441014830987,0.8997290584782118,0.0022279020938154965,0.962353303284295
17568,epoprostenol & selexipag,epoprostenol,selexipag,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,208,0.02885,145,7134,88,3749,0.04332,0.66597,0.0297029702970297,0.02187793427230047,1.3576679556367655,0.2407262939265612,0.623682038503454
17570,ambrisentan & selexipag,ambrisentan,selexipag,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,81,2479,0.03267,92,2956,88,3749,0.05386,0.60657,0.03377814845704754,0.027586206896551724,1.2244578815679734,2.020890078954987,0.1551481751318164
17572,macitentan & selexipag,macitentan,selexipag,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,119,5362,0.02219,239,10192,88,3749,0.04637,0.47854,0.022696929238985315,0.024019391802556193,0.9449418796928014,0.2205004132834367,0.6386588928292127
17577,macitentan & sildenafil,macitentan,sildenafil,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,10,410,0.02439,239,10192,9,368,0.04734,0.51521,0.025,0.02404965089216447,1.039516129032258,0.0,1.0
17583,epoprostenol & treprostinil,epoprostenol,treprostinil,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,280,0.02143,145,7134,28,1280,0.04176,0.51317,0.021897810218978103,0.02099259798568135,1.0431205434369857,0.0,1.0
17584,ambrisentan & treprostinil,ambrisentan,treprostinil,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,39,1337,0.02917,92,2956,28,1280,0.05231,0.55764,0.030046224961479198,0.029154518950437316,1.0305855161787365,0.004470121143076177,0.9466939814355199
17586,macitentan & treprostinil,macitentan,treprostinil,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,51,2408,0.02118,239,10192,28,1280,0.04481,0.47266,0.021637675010606705,0.023828647925033468,0.9080529906136634,0.30212593268858934,0.5825527113427837
17592,selexipag & treprostinil,selexipag,treprostinil,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,9,257,0.03502,88,3749,28,1280,0.04483,0.78117,0.036290322580645164,0.023610828414410746,1.5370203003337044,1.0396700246352732,0.30789822786108517
17593,sildenafil & treprostinil,sildenafil,treprostinil,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,12,344,0.03488,9,368,28,1280,0.0458,0.76157,0.03614457831325301,0.022967101179391682,1.5737544773689351,1.3517694969042078,0.24496900906226432
17595,epoprostenol & bosentan,epoprostenol,bosentan,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,22,1036,0.02124,145,7134,148,6235,0.04359,0.48727,0.021696252465483234,0.022407464056286325,0.968260058835013,0.0011627021149268736,0.9727986699496682
17600,macitentan & bosentan,macitentan,bosentan,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,7,212,0.03302,239,10192,148,6235,0.04663,0.70813,0.03414634146341464,0.02412718204488778,1.4152643852019917,0.4526758029927268,0.5010669896365693
17603,selexipag & bosentan,selexipag,bosentan,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,22,773,0.02846,88,3749,148,6235,0.04665,0.61008,0.02929427430093209,0.02421009437833402,1.2100024825656186,0.5217068001718902,0.47011451639535173
17606,treprostinil & bosentan,treprostinil,bosentan,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,17,756,0.02249,28,1280,148,6235,0.04509,0.49878,0.023004059539918808,0.023981468864967978,0.9592431418378644,0.001268442071685012,0.9715891926342798
17612,epoprostenol & macitentan,epoprostenol,macitentan,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,53,3473,0.01526,117,7134,156,10192,0.03146,0.48506,0.015497076023391813,0.016008913387673723,0.9680279759227128,0.019595054245281882,0.8886739472074533
17622,ambrisentan & selexipag,ambrisentan,selexipag,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,36,2479,0.01452,56,2956,62,3749,0.03517,0.41285,0.014735980352026197,0.017914073174434494,0.822592394735564,0.8609689029192894,0.35346769299414293
17625,macitentan & selexipag,macitentan,selexipag,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,95,5362,0.01772,156,10192,62,3749,0.0316,0.56076,0.018036833111828365,0.015885739269838956,1.1354103706129388,0.9238758876898622,0.33645934446690057
17632,epoprostenol & treprostinil,epoprostenol,treprostinil,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,7,280,0.025,117,7134,16,1280,0.02869,0.87138,0.02564102564102564,0.016060862214708368,1.5964912280701755,0.9234345680295925,0.3365747799211406
17633,ambrisentan & treprostinil,ambrisentan,treprostinil,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,23,1337,0.0172,56,2956,16,1280,0.0312,0.55128,0.01750380517503805,0.01729106628242075,1.0123033992897006,0.0,1.0
