snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
373909009,Suffocation feeling,Respiratory signs and symptoms NEC,"Respiratory, thoracic and mediastinal disorders"
56675007,Cardiac failure acute,Heart failures NEC,Cardiac disorders
45030009,Eye movement disorder,Ocular nerve and muscle disorders,Eye disorders
72092001,Arteriosclerosis,Non-site specific necrosis and vascular insufficiency NEC,Vascular disorders
58214004,Schizophrenia,Schizophrenia NEC,Psychiatric disorders
102570003,Groin pain,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders
55833001,Rotator cuff syndrome,Joint related disorders NEC,Musculoskeletal and connective tissue disorders
235055003,Oral herpes,Herpes viral infections,Infections and infestations
396331005,Coeliac disease,Malabsorption syndromes,Gastrointestinal disorders
277605001,Tumour lysis syndrome,Electrolyte imbalance NEC,Metabolism and nutrition disorders
57406009,Carpal tunnel syndrome,Mononeuropathies,Nervous system disorders
95402002,Injection site induration,Injection site reactions,General disorders and administration site conditions
62718007,Drooling,Neurological signs and symptoms NEC,Nervous system disorders
102479000,Pre-existing condition improved,General signs and symptoms NEC,General disorders and administration site conditions
198750004,Embolism,Non-site specific embolism and thrombosis,Vascular disorders
40541001,Acute pulmonary oedema,Pulmonary oedemas,"Respiratory, thoracic and mediastinal disorders"
424131007,Increased tendency to bruise,Bleeding tendencies,Blood and lymphatic system disorders
25540007,Tooth loss,Tooth missing,Gastrointestinal disorders
95393002,Injection site dermatitis,Injection site reactions,General disorders and administration site conditions
95393002,Injection site rash,Injection site reactions,General disorders and administration site conditions
9360008,Hyperammonaemia,Protein metabolism disorders NEC,Metabolism and nutrition disorders
22490002,Mouth haemorrhage,Oral soft tissue haemorrhages,Gastrointestinal disorders
386804004,Menstrual disorder,Menstruation and uterine bleeding NEC,Reproductive system and breast disorders
83074005,Unintended pregnancy,Unintended pregnancies,"Pregnancy, puerperium and perinatal conditions"
46206005,Affective disorder,Mood disorders NEC,Psychiatric disorders
46206005,Mood disorder due to a general medical condition,Mood disorders NEC,Psychiatric disorders
39419009,Hypovolaemic shock,Circulatory collapse and shock,Vascular disorders
46775006,Neonatal respiratory distress syndrome,Neonatal hypoxic conditions,"Respiratory, thoracic and mediastinal disorders"
271840007,Abnormal faeces,Faecal abnormalities NEC,Gastrointestinal disorders
221360009,Muscle spasticity,Neuromuscular disorders NEC,Nervous system disorders
30588004,Colitis ischaemic,Colitis (excl infective),Gastrointestinal disorders
56905009,Intestinal perforation,Intestinal ulcers and perforation NEC,Gastrointestinal disorders
196305005,Tooth fracture,Abdominal and gastrointestinal injuries NEC,"Injury, poisoning and procedural complications"
88610006,Cardiac murmur,Cardiac auscultatory investigations,Investigations
443971004,Arterial occlusive disease,Non-site specific necrosis and vascular insufficiency NEC,Vascular disorders
90708001,Nephropathy,Nephropathies and tubular disorders NEC,Renal and urinary disorders
55222007,Breast tenderness,Breast signs and symptoms,Reproductive system and breast disorders
209409002,Ligament sprain,"Muscle, tendon and ligament injuries","Injury, poisoning and procedural complications"
95545007,Diarrhoea haemorrhagic,Diarrhoea (excl infective),Gastrointestinal disorders
47270006,Cushing's syndrome,Adrenal cortical hyperfunctions,Endocrine disorders
44169009,Anosmia,Olfactory nerve disorders,Nervous system disorders
386584007,Adrenal insufficiency,Adrenal cortical hypofunctions,Endocrine disorders
61296009,Spinal disorder,Bone disorders NEC,Musculoskeletal and connective tissue disorders
95668009,Facial pain,Pain and discomfort NEC,General disorders and administration site conditions
200835003,Sunburn,Radiation injuries,"Injury, poisoning and procedural complications"
414027002,Haematopoietic neoplasm,Haematologic neoplasms NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
414027002,Blood disorder,Haematological disorders,Blood and lymphatic system disorders
441457006,Cyst,Mass conditions NEC,General disorders and administration site conditions
56717001,Tuberculosis,Tuberculous infections,Infections and infestations
56717001,Extrapulmonary tuberculosis,Tuberculous infections,Infections and infestations
270492004,Atrioventricular block first degree,Cardiac conduction disorders,Cardiac disorders
12184005,Visual field defect,Neurologic visual problems NEC,Nervous system disorders
248332009,Weight fluctuation,General nutritional disorders NEC,Metabolism and nutrition disorders
267384006,Diabetic coma,Coma states,Nervous system disorders
267384006,Hypoglycaemic coma,Coma states,Nervous system disorders
45913009,Laryngitis,Upper respiratory tract infections,Infections and infestations
59038002,Back injury,Site specific injuries NEC,"Injury, poisoning and procedural complications"
79883001,Ovarian cyst,Ovarian and fallopian tube cysts and neoplasms,Reproductive system and breast disorders
95900002,Therapeutic product effect decreased,Therapeutic and nontherapeutic responses,General disorders and administration site conditions
34713006,Vitamin D deficiency,Fat soluble vitamin deficiencies and disorders,Metabolism and nutrition disorders
24928009,Muscle strain,"Muscle, tendon and ligament injuries","Injury, poisoning and procedural complications"
234172002,Pulseless electrical activity,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
79823003,Panic reaction,Panic attacks and disorders,Psychiatric disorders
111900000,Bronchopulmonary aspergillosis,Aspergillus infections,Infections and infestations
4224004,Infusion related reaction,Non-site specific procedural complications,"Injury, poisoning and procedural complications"
29753000,Convulsions local,Seizures and seizure disorders NEC,Nervous system disorders
29753000,Partial seizures,Seizures and seizure disorders NEC,Nervous system disorders
399912005,Decubitus ulcer,Skin injuries and mechanical dermatoses,Skin and subcutaneous tissue disorders
300241000,Oral disorder,Oral soft tissue disorders NEC,Gastrointestinal disorders
254651007,Squamous cell carcinoma of skin,Skin neoplasms malignant and unspecified (excl melanoma),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
4557003,Angina unstable,Ischaemic coronary artery disorders,Cardiac disorders
191736004,Obsessive-compulsive disorder,Obsessive-compulsive disorders and symptoms,Psychiatric disorders
95365001,Application site reaction,Application and instillation site reactions,General disorders and administration site conditions
282020008,Premature labour,Labour onset and length abnormalities,"Pregnancy, puerperium and perinatal conditions"
11114002,Gingival pain,"Gingival disorders, signs and symptoms NEC",Gastrointestinal disorders
45816000,Pyelonephritis,Urinary tract infections,Infections and infestations
79631006,Petit mal epilepsy,Absence seizures,Nervous system disorders
399992009,Dermatitis exfoliative,Exfoliative conditions,Skin and subcutaneous tissue disorders
65553006,Aspergillus infection,Aspergillus infections,Infections and infestations
93870000,Hepatic cancer,Hepatic neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
66091009,Congenital anomaly,Congenital disorders NEC,"Congenital, familial and genetic disorders"
66091009,Hamartoma,Congenital disorders NEC,"Congenital, familial and genetic disorders"
66091009,Congenital musculoskeletal anomaly,Musculoskeletal disorders congenital NEC,"Congenital, familial and genetic disorders"
28394000,Toxic encephalopathy,Encephalopathies toxic and metabolic,Nervous system disorders
427898007,Tooth infection,Dental and oral soft tissue infections,Infections and infestations
105999006,Renal cyst,Renal neoplasms,Renal and urinary disorders
398254007,Pre-eclampsia,Hypertension associated disorders of pregnancy,"Pregnancy, puerperium and perinatal conditions"
95394008,Injection site urticaria,Injection site reactions,General disorders and administration site conditions
81916006,Screaming,General signs and symptoms NEC,General disorders and administration site conditions
74400008,Appendicitis,Abdominal and gastrointestinal infections,Infections and infestations
13644009,Hypercholesterolaemia,Elevated cholesterol,Metabolism and nutrition disorders
111287006,Tricuspid valve incompetence,Tricuspid valvular disorders,Cardiac disorders
75803007,Upper-airway cough syndrome,Upper respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
234646005,Graft versus host disease,Immune and associated conditions NEC,Immune system disorders
372070002,Gangrene,Bacterial infections NEC,Infections and infestations
3238004,Pericarditis,Noninfectious pericarditis,Cardiac disorders
275943004,Lip dry,Oral dryness and saliva altered,Gastrointestinal disorders
279425004,Hair disorder,Pilar disorders NEC,Skin and subcutaneous tissue disorders
43064006,Hydronephrosis,Renal obstructive disorders,Renal and urinary disorders
15013002,Vitreous floaters,"Choroid and vitreous structural change, deposit and degeneration",Eye disorders
276301007,Energy increased,General signs and symptoms NEC,General disorders and administration site conditions
308546005,Aortic dissection,Aortic aneurysms and dissections,Vascular disorders
119247004,Hypoalbuminaemia,Protein metabolism disorders NEC,Metabolism and nutrition disorders
399317006,Bradykinesia,Dyskinesias and movement disorders NEC,Nervous system disorders
82196007,Intestinal ischaemia,Gastrointestinal vascular occlusion and infarction,Gastrointestinal disorders
82196007,Mesenteric vascular insufficiency,Gastrointestinal vascular occlusion and infarction,Gastrointestinal disorders
247342009,Sensation of foreign body,Feelings and sensations NEC,General disorders and administration site conditions
108365000,Skin infection,Skin structures and soft tissue infections,Infections and infestations
60555002,Hypersensitivity vasculitis,Skin vasculitides,Skin and subcutaneous tissue disorders
42201002,Nasal dryness,Nasal disorders NEC,"Respiratory, thoracic and mediastinal disorders"
230745008,Hydrocephalus,Hydrocephalic conditions,Nervous system disorders
126952004,Brain neoplasm,Nervous system neoplasms unspecified malignancy NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
69192004,Onychoclasis,Nail and nail bed conditions (excl infections and infestations),Skin and subcutaneous tissue disorders
303078007,Large intestine perforation,Intestinal ulcers and perforation NEC,Gastrointestinal disorders
26889001,Myositis,Muscle infections and inflammations,Musculoskeletal and connective tissue disorders
12326000,Respiratory acidosis,Conditions associated with abnormal gas exchange,"Respiratory, thoracic and mediastinal disorders"
32230006,Malabsorption,Malabsorption syndromes,Gastrointestinal disorders
8769003,Urine odour abnormal,Urinary abnormalities,Renal and urinary disorders
66760008,Optic neuritis,Optic nerve disorders NEC,Nervous system disorders
370143000,Major depression,Depressive disorders,Psychiatric disorders
63398001,Pseudomonas infection,Pseudomonal infections,Infections and infestations
77493009,Pelvic fracture,Pelvic fractures and dislocations,"Injury, poisoning and procedural complications"
35304003,Cardiac tamponade,Pericardial disorders NEC,Cardiac disorders
95662005,Peripheral sensory neuropathy,Peripheral neuropathies NEC,Nervous system disorders
299709002,Tooth abscess,Dental and oral soft tissue infections,Infections and infestations
17790008,Nail disorder,Nail and nail bed conditions (excl infections and infestations),Skin and subcutaneous tissue disorders
26206000,Hepatitis B,Hepatitis viral infections,Infections and infestations
56170001,Photopsia,Visual disorders NEC,Eye disorders
108367008,Joint dislocation,Fractures and dislocations NEC,"Injury, poisoning and procedural complications"
53181008,Scratch,Skin injuries NEC,"Injury, poisoning and procedural complications"
102500002,Normal newborn,Normal newborn status,"Pregnancy, puerperium and perinatal conditions"
81950002,Tongue oedema,Tongue signs and symptoms,Gastrointestinal disorders
128398001,Gastrointestinal infection,Abdominal and gastrointestinal infections,Infections and infestations
69244009,Tongue disorder,Tongue disorders,Gastrointestinal disorders
94392001,Metastases to lymph nodes,Metastases to specified sites,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
68172002,Tendon disorder,Tendon disorders,Musculoskeletal and connective tissue disorders
84116009,Nerve compression,Mononeuropathies,Nervous system disorders
67426006,Alcohol poisoning,Poisoning and toxicity,"Injury, poisoning and procedural complications"
67426006,Alcoholism,Substance related and addictive disorders,Psychiatric disorders
409674002,Prothrombin level increased,Coagulation and bleeding analyses,Investigations
409674002,Prothrombin time prolonged,Coagulation and bleeding analyses,Investigations
128518001,Foreign body,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
414032001,Pigmentation disorder,Pigmentation changes NEC,Skin and subcutaneous tissue disorders
287731003,Cerebral ischaemia,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
15902003,Gastric ulcer haemorrhage,Gastric ulcers and perforation,Gastrointestinal disorders
128351009,Eye infection,Eye and eyelid infections,Infections and infestations
59118001,Bundle branch block right,Cardiac conduction disorders,Cardiac disorders
225549006,Yellow skin,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
77547008,Intervertebral disc degeneration,Intervertebral disc disorders NEC,Musculoskeletal and connective tissue disorders
88278002,Dysgraphia,Cortical dysfunction NEC,Nervous system disorders
386813002,Respiration abnormal,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
68978004,Hyperventilation,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
53489000,Tension,Anxiety symptoms,Psychiatric disorders
5913000,Femoral neck fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
399020009,Congestive cardiomyopathy,Cardiomyopathies,Cardiac disorders
87696004,Cystitis haemorrhagic,Bladder infections and inflammations,Renal and urinary disorders
281794004,Viral upper respiratory tract infection,Viral infections NEC,Infections and infestations
234097001,Lymphoedema,Lymphoedemas,Vascular disorders
70076002,Rhinitis,Upper respiratory tract infections,Infections and infestations
251019006,Coronary artery bypass,Arterial therapeutic procedures (excl aortic),Surgical and medical procedures
274950005,Bruxism,Stereotypies and automatisms,Psychiatric disorders
7847004,Cheilitis,Oral soft tissue disorders NEC,Gastrointestinal disorders
28560003,Hypovolaemia,Total fluid volume decreased,Metabolism and nutrition disorders
271719001,CSF pressure increased,Cerebrospinal fluid tests (excl microbiology),Investigations
271719001,Intracranial pressure increased,Increased intracranial pressure disorders,Nervous system disorders
39367000,Encephalitis,Central nervous system and spinal infections,Infections and infestations
39367000,Encephalomyelitis,Central nervous system and spinal infections,Infections and infestations
39367000,Central nervous system inflammation,Central nervous system inflammatory disorders NEC,Nervous system disorders
86854008,Hyperreflexia,Abnormal reflexes,Nervous system disorders
300886007,Skin swelling,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
56731001,Hypertonia,Muscle tone abnormal,Nervous system disorders
235753003,Colitis microscopic,Colitis (excl infective),Gastrointestinal disorders
49563000,Periorbital oedema,Ocular disorders NEC,Eye disorders
87866006,Trismus,Muscle tone abnormalities,Musculoskeletal and connective tissue disorders
48409008,Rales,Lower respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
68859000,Spinal osteoarthritis,Osteoarthropathies,Musculoskeletal and connective tissue disorders
53084003,Pneumonia bacterial,Bacterial infections NEC,Infections and infestations
302870006,Hypertriglyceridaemia,Elevated triglycerides,Metabolism and nutrition disorders
53741008,Arteriosclerosis coronary artery,Coronary artery disorders NEC,Cardiac disorders
267044007,Exercise tolerance decreased,General signs and symptoms NEC,General disorders and administration site conditions
30233002,Odynophagia,Oral soft tissue signs and symptoms,Gastrointestinal disorders
165583001,International normalised ratio abnormal,Coagulation and bleeding analyses,Investigations
238108007,Cachexia,General nutritional disorders NEC,Metabolism and nutrition disorders
65617004,Venoocclusive liver disease,Hepatic vascular disorders,Hepatobiliary disorders
52254009,Nephrotic syndrome,Glomerulonephritis and nephrotic syndrome,Renal and urinary disorders
234532001,Immunodeficiency,Immunodeficiency disorders NEC,Immune system disorders
254290004,Post transplant lymphoproliferative disorder,Lymphoproliferative disorders NEC (excl leukaemias and lymphomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
302297009,Talipes,Musculoskeletal and connective tissue disorders of limbs congenital,"Congenital, familial and genetic disorders"
224973000,Frustration tolerance decreased,Emotional and mood disturbances NEC,Psychiatric disorders
235675006,Gastric atony,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders
235675006,Impaired gastric emptying,Gastrointestinal atonic and hypomotility disorders NEC,Gastrointestinal disorders
55525008,Ileus paralytic,Non-mechanical ileus,Gastrointestinal disorders
274724004,Localised oedema,Oedema NEC,General disorders and administration site conditions
75722007,Logorrhoea,Speech and language usage disturbances,Psychiatric disorders
84017003,Bursitis,Bursal disorders,Musculoskeletal and connective tissue disorders
433234005,Benign prostatic hyperplasia,Prostatic neoplasms and hypertrophy,Reproductive system and breast disorders
269859006,Blood uric acid increased,Metabolism tests NEC,Investigations
417425009,Sickle cell anaemia with crisis,Sickle cell trait and disorders,Blood and lymphatic system disorders
299567001,Foot deformity,Extremity deformities,Musculoskeletal and connective tissue disorders
238149007,Systemic inflammatory response syndrome,Inflammations,General disorders and administration site conditions
441456002,Polyp,Mucosal findings abnormal,General disorders and administration site conditions
363518003,Renal cancer,Renal neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
65275009,Cholecystitis acute,Cholecystitis and cholelithiasis,Hepatobiliary disorders
91374005,Furuncle,Staphylococcal infections,Infections and infestations
197171003,Peritonitis bacterial,Bacterial infections NEC,Infections and infestations
11934000,Eyelid ptosis,Eyelid movement disorders,Eye disorders
9651007,Long QT syndrome,Cardiac conduction disorders,Cardiac disorders
161152002,Social problem,Social issues NEC,Social circumstances
408335007,Autoimmune hepatitis,Hepatocellular damage and hepatitis NEC,Hepatobiliary disorders
398991009,Psychomotor retardation,Mood alterations with depressive symptoms,Psychiatric disorders
426965005,Aphthous ulcer,Stomatitis and ulceration,Gastrointestinal disorders
51599000,Laryngeal oedema,"Laryngeal spasm, oedema and obstruction","Respiratory, thoracic and mediastinal disorders"
17173007,Polydipsia,Fluid intake increased,Metabolism and nutrition disorders
59566000,Oligohydramnios,Amniotic fluid and cavity disorders of pregnancy NEC,"Pregnancy, puerperium and perinatal conditions"
410431009,Cardiopulmonary failure,Heart failures NEC,Cardiac disorders
370992007,Dyslipidaemia,Lipid metabolism and deposit disorders NEC,Metabolism and nutrition disorders
43478001,Abdominal tenderness,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal disorders
371041009,Embolic stroke,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
363349007,Gastric cancer,Gastric neoplasms malignant,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
48447003,Cardiac failure chronic,Heart failures NEC,Cardiac disorders
165509000,White blood cell count abnormal,White blood cell analyses,Investigations
56819008,Endocarditis,Cardiac infections,Infections and infestations
89458003,Stupor,Disturbances in consciousness NEC,Nervous system disorders
82403002,Cholangitis,Bile duct infections and inflammations,Hepatobiliary disorders
396232000,Inguinal hernia,Inguinal hernias,Gastrointestinal disorders
400190005,Skin atrophy,Skin hypoplasias and atrophies,Skin and subcutaneous tissue disorders
64613007,Enteritis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal disorders
102599008,Skin warm,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
17029006,Feeling of despair,Mood alterations with depressive symptoms,Psychiatric disorders
37231002,Macular oedema,"Retinal, choroid and vitreous infections and inflammations",Eye disorders
64090007,Thermal burn,Thermal burns,"Injury, poisoning and procedural complications"
268029009,Pathological fracture,Fractures NEC,Musculoskeletal and connective tissue disorders
52674009,Ischaemia,Non-site specific necrosis and vascular insufficiency NEC,Vascular disorders
7180009,Meningitis,Central nervous system and spinal infections,Infections and infestations
186435004,Klebsiella infection,Klebsiella infections,Infections and infestations
55827005,Left ventricular hypertrophy,Myocardial disorders NEC,Cardiac disorders
297960002,Skin mass,Skin and subcutaneous conditions NEC,Skin and subcutaneous tissue disorders
28998008,Retinal haemorrhage,Retinal bleeding and vascular disorders (excl retinopathy),Eye disorders
425104003,Suicidal behaviour,Suicidal and self-injurious behaviour,Psychiatric disorders
22811006,Leukoencephalopathy,Encephalopathies NEC,Nervous system disorders
1.99E+14,Investigation,Investigations NEC,Investigations
368009,Cardiac valve disease,Cardiac valve disorders NEC,Cardiac disorders
274858002,Glucose tolerance impaired,Hyperglycaemic conditions NEC,Metabolism and nutrition disorders
274858002,Glucose tolerance test abnormal,Carbohydrate tolerance analyses (incl diabetes),Investigations
15167005,Alcohol abuse,Substance related and addictive disorders,Psychiatric disorders
76844004,Wound infection,Infections NEC,Infections and infestations
12729009,Delayed delivery,Labour onset and length abnormalities,"Pregnancy, puerperium and perinatal conditions"
12729009,Premature rupture of membranes,Labour onset and length abnormalities,"Pregnancy, puerperium and perinatal conditions"
54840006,Failure to thrive,General nutritional disorders NEC,Metabolism and nutrition disorders
231496004,Hypomania,Mood alterations with manic symptoms,Psychiatric disorders
128473001,Uveitis,"Iris and uveal tract infections, irritations and inflammations",Eye disorders
63467002,Bundle branch block left,Cardiac conduction disorders,Cardiac disorders
386783003,Tic,Tic disorders,Psychiatric disorders
95422003,Muscle haemorrhage,Muscle related signs and symptoms NEC,Musculoskeletal and connective tissue disorders
73320003,Haemolysis,Haemolyses NEC,Blood and lymphatic system disorders
44103008,Ventricular arrhythmia,Ventricular arrhythmias and cardiac arrest,Cardiac disorders
20511007,Hand fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
35486000,Subdural haemorrhage,Cerebral injuries NEC,"Injury, poisoning and procedural complications"
95568003,Renal tubular disorder,Nephropathies and tubular disorders NEC,Renal and urinary disorders
21117005,Conjunctival haemorrhage,Conjunctival and corneal bleeding and vascular disorders,Eye disorders
68409003,Organising pneumonia,Parenchymal lung disorders NEC,"Respiratory, thoracic and mediastinal disorders"
271951008,Tearfulness,Mood alterations with depressive symptoms,Psychiatric disorders
84869007,Neurological symptom,Neurological signs and symptoms NEC,Nervous system disorders
240037007,Tendon injury,"Muscle, tendon and ligament injuries","Injury, poisoning and procedural complications"
233958001,Peripheral ischaemia,"Peripheral vasoconstriction, necrosis and vascular insufficiency",Vascular disorders
36994005,Blindness transient,Visual impairment and blindness (excl colour blindness),Eye disorders
361135004,Heart rate abnormal,Heart rate and pulse investigations,Investigations
51551000,Haemorrhoidal haemorrhage,Haemorrhoids and gastrointestinal varices (excl oesophageal),Gastrointestinal disorders
4969004,Sinus headache,Headaches NEC,Nervous system disorders
77880009,Proctalgia,Anal and rectal pains,Gastrointestinal disorders
95347000,Skin necrosis,Dermal and epidermal conditions NEC,Skin and subcutaneous tissue disorders
286669009,Dissociation,Dissociative states,Psychiatric disorders
61599003,Phlebitis,Phlebitis NEC,Vascular disorders
60573004,Aortic stenosis,Aortic necrosis and vascular insufficiency,Vascular disorders
60573004,Aortic valve stenosis,Aortic valvular disorders,Cardiac disorders
398302004,Dysmorphism,Musculoskeletal disorders congenital NEC,"Congenital, familial and genetic disorders"
23687008,Arteriospasm coronary,Ischaemic coronary artery disorders,Cardiac disorders
95315005,Uterine leiomyoma,Uterine neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
89164003,Breast mass,Breast disorders NEC,Reproductive system and breast disorders
238968009,Vulvovaginal pain,Vulvovaginal signs and symptoms,Reproductive system and breast disorders
23276006,Intraventricular haemorrhage,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
23276006,Intraventricular haemorrhage neonatal,Central nervous system haemorrhages and cerebrovascular accidents,Nervous system disorders
60612008,Gastrointestinal sounds abnormal,Abdominal findings abnormal,Gastrointestinal disorders
267078001,Muscle contractions involuntary,Neuromuscular disorders NEC,Nervous system disorders
17849001,Respiratory disorder neonatal,Newborn respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
61627001,Hyperchlorhydria,Gastrointestinal mucosal dystrophies and secretion disorders,Gastrointestinal disorders
95281009,Sudden cardiac death,Death and sudden death,General disorders and administration site conditions
95281009,Familial risk factor,Family and partner issues,Social circumstances
416189003,Exostosis,Bone disorders NEC,Musculoskeletal and connective tissue disorders
6273006,Priapism,Erection and ejaculation conditions and disorders,Reproductive system and breast disorders
275240008,Inguinal hernia repair,Hernia repairs,Surgical and medical procedures
275240008,Abdominal hernia repair,Hernia repairs,Surgical and medical procedures
275240008,Limb operation,Limb therapeutic procedures,Surgical and medical procedures
275240008,Abdominal operation,Abdominal therapeutic procedures NEC,Surgical and medical procedures
275240008,Abdominal wall operation,Abdominal therapeutic procedures NEC,Surgical and medical procedures
275240008,Hernia repair,Hernia repairs,Surgical and medical procedures
40863000,Craniocerebral injury,Cerebral injuries NEC,"Injury, poisoning and procedural complications"
43878008,Pharyngitis streptococcal,Streptococcal infections,Infections and infestations
276622005,Haemorrhage subcutaneous,Skin haemorrhages,Skin and subcutaneous tissue disorders
286756000,Impulsive behaviour,Impulse control disorders,Psychiatric disorders
8009008,Enuresis,Psychiatric elimination disorders,Psychiatric disorders
238131007,Overweight,General nutritional disorders NEC,Metabolism and nutrition disorders
400166009,Hyperkeratosis,Hyperkeratoses,Skin and subcutaneous tissue disorders
398057008,Tension headache,Headaches NEC,Nervous system disorders
386614005,Hypopnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
59026006,Blepharospasm,Eyelid movement disorders,Eye disorders
109385007,Kaposi's sarcoma,Kaposi's sarcomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
263253007,Stress fracture,Fractures and dislocations NEC,"Injury, poisoning and procedural complications"
71315007,Dyspareunia,Sexual function and fertility disorders NEC,Reproductive system and breast disorders
70323002,Asthenopia,Ocular sensation disorders,Eye disorders
63532004,Diverticulum intestinal,Diverticula,Gastrointestinal disorders
44653001,Erysipelas,Streptococcal infections,Infections and infestations
27550009,Angiopathy,Non-site specific vascular disorders NEC,Vascular disorders
22255007,Progressive multifocal leukoencephalopathy,Polyomavirus infections,Infections and infestations
43752006,Enterocolitis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal disorders
71583005,Gastrointestinal toxicity,Gastrointestinal inflammatory disorders NEC,Gastrointestinal disorders
262519004,Multiple injuries,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
102626001,Hepatic pain,Hepatobiliary signs and symptoms,Hepatobiliary disorders
119416008,Epigastric discomfort,Dyspeptic signs and symptoms,Gastrointestinal disorders
193894004,Conjunctival hyperaemia,"Conjunctival infections, irritations and inflammations",Eye disorders
38013005,Immunosuppression,Immunodeficiency disorders NEC,Immune system disorders
248290002,Developmental delay,General signs and symptoms NEC,General disorders and administration site conditions
66383009,Gingivitis,Dental and oral soft tissue infections,Infections and infestations
70531008,Vulvovaginal discomfort,Vulvovaginal signs and symptoms,Reproductive system and breast disorders
196075003,Pleurisy,Pleural infections and inflammations,"Respiratory, thoracic and mediastinal disorders"
280137006,Diabetic foot,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders
77768006,Multiple fractures,Fractures and dislocations NEC,"Injury, poisoning and procedural complications"
249274008,Urinary tract disorder,Genital and urinary tract disorders NEC,Renal and urinary disorders
42689008,Blood pressure diastolic decreased,Vascular tests NEC (incl blood pressure),Investigations
42689008,Diastolic hypotension,Vascular hypotensive disorders,Vascular disorders
27477003,Facial bones fracture,"Skull fractures, facial bone fractures and dislocations","Injury, poisoning and procedural complications"
39423001,Dysphemia,Speech articulation and rhythm disturbances,Psychiatric disorders
66308002,Humerus fracture,Limb fractures and dislocations,"Injury, poisoning and procedural complications"
62573007,Skin abrasion,Skin injuries NEC,"Injury, poisoning and procedural complications"
44018007,Jaundice cholestatic,Cholestasis and jaundice,Hepatobiliary disorders
75934005,Metabolic disorder,Metabolic disorders NEC,Metabolism and nutrition disorders
75934005,Plasma protein metabolism disorder,Protein metabolism disorders NEC,Metabolism and nutrition disorders
422088007,Diabetic neuropathy,Chronic polyneuropathies,Nervous system disorders
201101007,Actinic keratosis,Skin preneoplastic conditions NEC,Skin and subcutaneous tissue disorders
161844003,Fluid intake reduced,Fluid intake decreased,Metabolism and nutrition disorders
128060009,Nasal septum ulceration,Nasal disorders NEC,"Respiratory, thoracic and mediastinal disorders"
128060009,Varicose vein,Varicose veins NEC,Vascular disorders
27281001,Duodenal ulcer haemorrhage,Duodenal ulcers and perforation,Gastrointestinal disorders
233970002,Coronary artery stenosis,Coronary artery disorders NEC,Cardiac disorders
109969005,Diffuse large B-cell lymphoma,Diffuse large B-cell lymphomas,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
432519008,Carbohydrate antigen 125 increased,Cell marker analyses,Investigations
427044009,Hepatitis fulminant,Hepatocellular damage and hepatitis NEC,Hepatobiliary disorders
54518005,Pulse absent,Heart rate and pulse investigations,Investigations
67967009,Cushingoid,Adrenal cortical hyperfunctions,Endocrine disorders
36649002,Clonus,Neurological signs and symptoms NEC,Nervous system disorders
30811009,Oesophageal ulcer,Oesophageal ulcers and perforation,Gastrointestinal disorders
167180005,Renal function test abnormal,Renal function analyses,Investigations
406444002,Laryngospasm,"Laryngeal spasm, oedema and obstruction","Respiratory, thoracic and mediastinal disorders"
425522009,Hyperammonaemic encephalopathy,Encephalopathies toxic and metabolic,Nervous system disorders
